exec_time,errors
0.04848170280456543,1
0.04561805725097656,1
0.05381011962890625,5
0.0537416934967041,4
0.0640416145324707,2
0.05968070030212402,5
0.05139732360839844,3
0.059711456298828125,5
0.05085444450378418,3
0.055586814880371094,3
0.08023214340209961,5
0.03941941261291504,5
0.046854496002197266,3
0.055136680603027344,2
0.06067824363708496,3
0.059728384017944336,3
0.03969407081604004,1
0.05089282989501953,2
0.04909014701843262,4
0.06800460815429688,2
0.05524587631225586,4
0.05927157402038574,8
0.04647374153137207,4
0.04965019226074219,3
0.04369330406188965,1
0.05069565773010254,5
0.05208158493041992,4
0.05898141860961914,3
0.06737995147705078,6
0.05633425712585449,8
0.05463099479675293,1
0.05717158317565918,4
0.056967735290527344,6
0.06807827949523926,9
0.0764155387878418,1
0.06202816963195801,3
0.054354190826416016,3
0.04937386512756348,1
0.04388928413391113,2
0.05226945877075195,6
0.061136722564697266,6
0.06148886680603027,4
0.05088305473327637,4
0.05295062065124512,4
0.06613707542419434,2
0.05311989784240723,6
0.04127025604248047,6
0.05941367149353027,2
0.060410499572753906,4
0.06214570999145508,3
