exec_time,errors
0.002360820770263672,2
0.0024945735931396484,1
0.0029103755950927734,4
0.0015954971313476562,1
0.002653837203979492,1
0.002597808837890625,1
0.0019309520721435547,1
0.0023119449615478516,2
0.0024504661560058594,1
0.0019459724426269531,1
0.002591371536254883,1
0.002190828323364258,3
0.0022902488708496094,2
0.0021092891693115234,3
0.0023069381713867188,1
0.0018973350524902344,3
0.0022881031036376953,2
0.0018427371978759766,2
0.0023915767669677734,1
0.0025429725646972656,3
0.0015099048614501953,2
0.002243518829345703,1
0.003025054931640625,1
0.0027627944946289062,2
0.002567291259765625,2
0.0020132064819335938,1
0.00229644775390625,1
0.001972198486328125,1
0.002424955368041992,2
0.0021545886993408203,2
0.002232074737548828,2
0.0024683475494384766,3
0.0021140575408935547,1
0.0024802684783935547,1
0.002958059310913086,2
0.002658367156982422,2
0.0023522377014160156,2
0.002116680145263672,2
0.0017104148864746094,1
0.002440214157104492,1
0.0015704631805419922,1
0.0018260478973388672,2
0.002328157424926758,2
0.0031175613403320312,2
0.002828836441040039,4
0.002585172653198242,2
0.002149820327758789,1
0.0023980140686035156,2
0.0027990341186523438,2
0.0026121139526367188,1
