exec_time,errors
0.04045677185058594,5
0.04085826873779297,4
0.03557991981506348,3
0.03927755355834961,4
0.03375601768493652,5
0.03716158866882324,3
0.03682827949523926,3
0.036852121353149414,5
0.03784489631652832,4
0.04027080535888672,1
0.0348203182220459,6
0.03579139709472656,4
0.03367471694946289,1
0.03865194320678711,4
0.041388750076293945,4
0.04054379463195801,5
0.04055285453796387,11
0.0350949764251709,5
0.034233808517456055,4
0.035224199295043945,5
0.030587434768676758,2
0.03345131874084473,1
0.04020881652832031,1
0.03293943405151367,2
0.03654885292053223,2
0.03438425064086914,4
0.035053253173828125,6
0.03321242332458496,3
0.03929257392883301,4
0.035337209701538086,7
0.041519880294799805,7
0.03747749328613281,3
0.03825712203979492,4
0.038687944412231445,4
0.03960585594177246,3
0.0433955192565918,9
0.03847503662109375,2
0.04126334190368652,1
0.03345656394958496,1
0.0328366756439209,2
0.0361943244934082,4
0.03933382034301758,6
0.033240318298339844,3
0.03956723213195801,9
0.04024529457092285,5
0.03890061378479004,4
0.03357982635498047,3
0.038762807846069336,7
0.04296278953552246,5
0.03771829605102539,5
