exec_time,errors
0.08293342590332031,2
0.08866667747497559,1
0.09612393379211426,5
0.09848308563232422,5
0.07629132270812988,2
0.08018326759338379,5
0.07721972465515137,4
0.08282971382141113,6
0.0759885311126709,4
0.07973408699035645,4
0.09267759323120117,4
0.07185602188110352,6
0.07770514488220215,3
0.08900022506713867,2
0.10770153999328613,4
0.09111261367797852,3
0.05526423454284668,1
0.0775446891784668,2
0.06998515129089355,4
0.09105896949768066,2
0.0828409194946289,4
0.08511853218078613,6
0.0723421573638916,4
0.08246755599975586,3
0.073150634765625,2
0.07964038848876953,4
0.08297896385192871,4
0.08544802665710449,3
0.09254240989685059,6
0.09316492080688477,6
0.08866667747497559,1
0.08088421821594238,3
0.0897684097290039,8
0.09957408905029297,9
0.08260774612426758,1
0.07958412170410156,3
0.07622766494750977,3
0.07670283317565918,1
0.07762908935546875,2
0.08014464378356934,6
0.0812840461730957,4
0.09112691879272461,3
0.08512163162231445,4
0.08766937255859375,4
0.09133172035217285,1
0.07995271682739258,6
0.0675649642944336,6
0.0930318832397461,2
0.10702943801879883,4
0.10422515869140625,3
